d2,d3,d5
-928.1957976077504,-1143.881423869253,-3357.65483993037
-927.222591773395,-1296.2701539259065,-3351.2552574591164
-876.9219273089802,-1293.270265022601,-3326.184947279821
-878.018153340652,-1513.5323078999231,-3315.6110755332993
-876.3382806896105,-1511.5118829957687,-3283.763624323794
-786.5015741450927,-1799.5435902865208,-2800.6819585895378
-786.4941006333117,-1799.5435902865208,-3002.818986335178
-786.4437837915061,-1796.5617325419116,-3242.7273946229434
-786.3722930257215,-1793.1474637666029,-3242.0008873693914
-786.3559217304578,-1784.3209502056982,-2896.6714692716077
-785.9995832531515,-1513.1527085035063,-2286.3514223638185
-777.7360157491376,-1511.4034460497505,-2339.3390974819517
-867.1803912378587,-1507.1819684139784,-3024.1363640659524
-894.1665451338338,-1511.093298481368,-3023.1878426942594
-894.272355568931,-1512.1943069127833,-3020.6974911462607
-894.2217375302675,-1733.8661672969376,-2984.728277202844
-894.1869802692875,-1736.0679339329154,-2984.8363932330376
-894.0220250230751,-1735.906154648971,-3076.817114881664
-821.1964609896609,-1197.8861000037477,-3075.2097771964736
-821.19646106514,-1209.8999037016756,-3067.992968611591
-924.5834286665148,-1217.0954402311863,-2917.146285397711
-925.1627373705242,-1400.7044433976514,-2478.7148359437224
-924.4968172457274,-1401.6515603831606,-2472.4641315719323
-924.1138063134734,-1551.5908915021214,-2332.6958095676614
-924.0207644348634,-1487.7467193762352,-2175.6745592879925
-959.5648950742029,-1499.5796803019275,-2337.7871050290028
-959.636854546254,-1639.8904171772156,-2726.970617239237
-959.6307530488167,-1639.5478842910368,-2726.030824297489
-959.5455532992696,-1637.225850160396,-2731.3482139429066
-959.5586898271285,-1518.4417260976315,-2724.2672513251055
-959.3600183078954,-1517.1848990732267,-2299.109141399905
-958.3661152386492,-1144.2519234652145,-2583.069725265286
-935.1779619246727,-1145.1795570850984,-2991.944248271001
-935.0017818657975,-1545.170920081035,-3394.8866606540373
-733.2382695552408,-1540.0858077878784,-3356.709189652354
-736.2731139824791,-1140.9451637094905,-3355.9267062187887
-836.2269272351689,-1137.7222935816264,-3338.866425192224
-835.8632870227071,-1140.3176574026525,-2601.29225686861
-836.4201807321996,-1041.0244689053975,-2726.0967247477984
-889.4094253942218,-1248.537584536961,-2727.045645510834
-889.8840497003546,-1467.8095950501224,-2726.1459412032236
-889.7564637625801,-1710.6739136901635,-2626.2971676777493
-889.7518300376444,-1721.1899252928947,-2626.2971676777493
-889.4897873171142,-1720.0585469779132,-2404.945681793939
-889.0121342499663,-1718.4169671481613,-2539.1547310877304
-858.3254146865306,-1745.674272907736,-2726.158500392198
-857.8660573274387,-1744.8079374940153,-3061.195385404002
-916.3697259224549,-1739.4137005836083,-3053.0234494300603
-916.3323989374928,-1261.5389948856887,-3044.347428331742
-915.6533254243706,-1103.5596696947487,-2590.423144124894
-915.5185807373663,-1585.0430605015763,-2588.5908868556
-910.6213281483851,-1585.8417807852647,-2172.6531899805664
-908.5528377971323,-1585.9608330656783,-2245.4557707501986
-899.1488463582247,-1585.3777387831549,-2245.4557707501986
-898.1115159771127,-1849.0009173777005,-2642.286096388733
-897.8273381581402,-1849.7002120314655,-2641.120568376273
-897.1251575606832,-1849.656407642577,-2631.7578987759134
-894.2692055093783,-1474.6756057843,-1960.0859639582832
-893.1418223166615,-1352.5824316663357,-2722.6233114364977
-929.4591543730232,-1583.568642047814,-2719.583406694277
-929.5373775295934,-1584.5827626757182,-2790.3103368425527
-929.5051017561116,-1574.002158835973,-3108.7066319069954
-929.5151321436899,-1574.0925300626125,-2947.9577128627366
-929.2512740180499,-1573.8262538190995,-3352.625341669119
