d2,d3,d5
-959.5741342332154,-1511.7133503437371,-2027.7998524381405
-739.6167081621056,-1398.4492292530554,-2124.819090887642
-632.8548674573155,-1237.3614977794055,-2185.852825800508
-745.7292727410965,-1159.74013088569,-2125.5919001145476
-610.3768024237206,-1511.8212025210523,-2210.8727850804944
-706.4395797556666,-1477.3976404253935,-2105.545473188627
-892.9754164894334,-1336.1142006381865,-2393.5401122662006
-952.4261692637988,-1088.446582498349,-2451.7433372271325
-763.0485768981791,-795.1757442043285,-2173.678282028531
-951.4065958831807,-861.6513805804948,-1867.069866376879
-693.5193811434465,-1130.797050981864,-1927.4709752237209
-854.2307517209217,-1207.7666675155278,-2208.463915953047
-781.57598748068,-1191.9290877260717,-2233.761552143278
-699.6148324906222,-1808.9024025149715,-2058.837792017288
-876.5166357589734,-1361.8351653909713,-2330.529482761053
-818.5097794239794,-1222.9217388273369,-2604.7528696187055
-525.5174981554175,-1171.683683441845,-2117.2670616615337
-862.3831736758339,-1507.057865849924,-1874.6579508056775
-465.1173696340565,-1166.4902909785897,-2507.7529031330296
-750.4392164362595,-1241.3394390221101,-2478.0585329792625
-856.4400107712813,-1531.677400288519,-1898.9453219562226
-888.9491239437086,-1586.2107495986756,-1695.6010523843497
-864.3019175860093,-759.538161704068,-1975.458990529018
-869.8883297729319,-1530.3230150532625,-2477.0434682301084
-752.8973798255176,-901.0073793667028,-2112.513877061222
-886.7911814386612,-1214.595937196003,-2033.5040717019342
-773.5283007341117,-1405.5854018203277,-1936.1837879168118
-664.9429840060817,-1393.5057799728202,-1926.0662492256133
-742.4824817842614,-956.5601131651046,-2561.330680724868
-679.4824916560167,-1613.3644704466874,-2100.7531112497886
-835.7346688616094,-1151.1158462465205,-2804.0464172418397
-785.7380770050605,-1124.0495338615908,-2162.020019151904
-685.7317510983834,-1067.65134783596,-2110.7162220405494
-715.9758396749673,-950.7844618012165,-2028.210358384404
-624.3443994412385,-1480.4017959502294,-1628.069023673815
-935.3374445450372,-1476.9401870309716,-3095.4371741976734
-884.0053981205554,-929.5691336053667,-2357.3309268190123
-614.686813266892,-1539.4634250053084,-1455.9706828549545
-718.1674540837448,-1512.8849541689378,-2756.6272767527407
-672.6558301866986,-1793.1524583217065,-2079.113389803805
-691.9157276985115,-1390.4368651360764,-1825.6418496571728
-712.53031427289,-853.1259253421816,-2381.8477604409163
-567.3102840078041,-1213.7354444660732,-2676.975999262665
-955.3278567874164,-1097.0949613280259,-1775.6531264098594
-898.7499918457492,-1271.9615012574122,-2570.116548902626
-617.3408966488689,-1279.5334960425048,-2475.611665887508
-893.2075011485604,-992.218995518576,-2164.729198270367
-730.2352639882738,-1365.628566913621,-2341.0400867474655
-544.61762405031,-1175.7025590918397,-2578.7627684288227
-870.8251121212695,-960.2404097534477,-2347.483425855795
-933.4688010084176,-1325.6860160924548,-1646.847244789618
-804.7473900106628,-1345.3684032701894,-2128.6046590715655
-887.4971938567596,-1115.1311379825515,-2277.8074923373133
-659.0352331472919,-1508.252425881408,-2461.5764524906117
-592.7730069637797,-1426.880745019066,-2269.3696170189737
-677.3205620738582,-1808.8061445943265,-2254.330247727356
-547.6536551754793,-1476.9958574362704,-1910.803843276546
-563.8562612972521,-1496.923085884868,-2250.3680763495704
-699.5977913153927,-1498.8191236472603,-2071.2838203668107
-685.7509192480311,-1290.3580966764214,-2658.0068067037832
-536.799716193834,-1384.4092700583637,-2230.5791749818004
-916.8311821976863,-1210.4927772258611,-2011.3923874536097
-700.1062773293529,-1391.0597333090639,-1813.7137286759862
-830.8052532240383,-1371.9245018448921,-2057.4392292489415
