d10,d2,d5
-6.423126772942846,-1.801252970816802,-4.258983119416076
-6.109473760270269,-1.801228708063935,-4.404844655103917
-6.191365471235456,-1.8009851325084023,-4.41796063616148
-6.555246800743721,-1.8003959278980917,-4.405504538813963
-6.2174446068984945,-1.801051570035813,-4.199210382862242
-6.384805033911784,-1.8010058478853386,-4.279894782422687
-6.2222425848335075,-1.8011099728376783,-4.331698730970361
-6.026759151275276,-1.801177422370436,-4.132259964974939
-6.185960981239113,-1.801231333439575,-4.254629582055956
-6.009624767918318,-1.8010385669916062,-4.285475167436692
-6.110589638741849,-1.8004211877708105,-4.26263074169856
-6.286952180260442,-1.8011178291968575,-4.388318062282537
-6.091746937829868,-1.8011792301876555,-4.574610898755611
-6.1190154994165695,-1.8011851913813832,-4.382946321351979
-6.422000336781904,-1.8011950890121553,-4.386071426819556
-6.333030729294571,-1.8012061593290483,-4.384626284937182
-5.929506822797693,-1.7999429384900862,-4.384626284937182
-6.73084506340734,-1.8009129400185866,-4.127583303934489
-6.352551792332295,-1.8009346672750142,-4.3291440203405935
-5.808685290230514,-1.801257462113278,-4.305416625649551
-6.483257098149635,-1.8012610706851042,-4.34712189895827
-6.676887860907104,-1.8012484295371505,-4.3307883443017845
-6.039738486756271,-1.801173012263961,-4.395518449824901
-6.5006158653602295,-1.8009682010979073,-4.266120001341362
-5.85767451016956,-1.8012082754419954,-4.203566361924344
-6.110182324609426,-1.8009473521033699,-4.387545483579819
-5.986432328407583,-1.80059585018655,-4.451239695762848
-5.781742865058535,-1.8012514434580686,-4.35551020381799
-6.314544763798653,-1.800131551278837,-4.445804927445215
-6.085626862372067,-1.8012392766904421,-4.369576160432919
-5.964929611627559,-1.80011838449577,-4.4200953436058805
-6.155668746239985,-1.8012197212596317,-4.171917572033016
-6.38655608610471,-1.8005744220127218,-4.214198222933898
-6.4409350081688705,-1.8012467451687222,-4.215834039878116
-7.104067860114972,-1.8010923963002559,-4.386060218201178
-5.610501934145954,-1.7997205545248462,-4.408219056378433
-5.90813010946442,-1.8009885408731265,-4.34795012023724
-6.148580050220818,-1.8009400767393027,-4.429641541108551
-6.15771982017932,-1.8008136722763337,-4.214527040832764
-6.178488871711039,-1.7992598742950836,-4.398143753083235
-6.0616157858259605,-1.8012504771361817,-4.291158775590762
-6.0616157858259605,-1.8009056703225093,-4.345231258005763
-6.1441720128987996,-1.8006504945711037,-4.3392400540402525
-6.363864241044667,-1.8006726898267826,-4.440074604312864
-6.658318970468683,-1.8009490712692893,-4.390778853320703
-6.239101783596852,-1.8012916584198457,-4.47879337310582
-6.242033151741547,-1.8009336722801819,-4.168316608674815
-6.385052212828442,-1.8011837789228617,-4.293731215225887
-6.41926047766583,-1.8012468359632337,-4.169783201486287
-6.152476791976652,-1.8010979451127003,-4.323266189996356
-6.045000159727107,-1.8001266061175927,-4.249900789741366
-5.887244822384598,-1.801215535871536,-4.355656866155365
-5.870037125042463,-1.800735268223249,-4.3329987845290425
-5.918724045809085,-1.801252135100218,-4.403431439507484
-6.436755474532582,-1.8012880213644475,-4.203184659419089
-6.326439882132854,-1.800898156681316,-4.312027800430353
-6.914665792998418,-1.801091082850886,-4.346936695171131
-5.773167827858201,-1.801179091719268,-4.5838019783710395
-6.0806058968344745,-1.800758601232255,-4.153700795139519
-7.225461179257785,-1.8006157999008572,-4.259346160699803
-6.857279089236032,-1.8004165989364207,-4.303953213235166
-6.0142532165312845,-1.8012746231692107,-4.2576194667544796
-6.861847673416175,-1.7999302733321216,-4.3631840370776365
-6.320378612965149,-1.8010572578714872,-4.343713710028302
