d10,d2,d5
-5.836774712798884,-1.8006835809484598,-4.128425741438444
-5.805255037447106,-1.80122738140828,-4.363689050298408
-5.628775496894002,-1.8010068623480748,-4.318204025191284
-7.007982745686795,-1.8012622365578244,-4.3891540122846475
-6.1486250854162785,-1.8011156698184647,-4.272737984825988
-6.23623241716263,-1.8004937401287213,-3.9218898653663126
-6.0539568091733225,-1.8011649176618376,-4.207585560244815
-6.804880266710719,-1.8012324008396638,-4.402392306832929
-5.721154613575887,-1.8007825174949783,-4.29525857279588
-6.20218318058122,-1.8010142168822096,-4.43276093307335
-6.518911822161555,-1.8011888035969477,-4.269696239379782
-6.0762896019615305,-1.8012915755687102,-4.31128877370798
-5.921929374602441,-1.8009595975926491,-4.003378429261454
-6.100221493402538,-1.8010343217505702,-4.290654086090425
-5.788594637569499,-1.8010890544172482,-4.483313909366962
-5.770611209325524,-1.8008312023950293,-4.404122337402963
-6.154366988437259,-1.8012290496118752,-4.3770810873050205
-6.231302828561198,-1.8012846039662136,-4.3334656675315735
-6.2931857208956625,-1.8005060066748402,-4.267505204261224
-6.349223644497255,-1.8011626523241997,-4.291684620547833
-6.1631970923905035,-1.8010262734797886,-4.295287428206582
-5.875683094778689,-1.8012859729056827,-3.807842879371026
-6.832565568646999,-1.801124761490653,-4.2489146783225005
-6.016402714224321,-1.8012391313646492,-4.338702632438113
-5.726593276980214,-1.8002381660348217,-4.110348692672909
-5.8497165671933,-1.800879049990811,-4.294130294251586
-6.607138146281849,-1.8010419061712053,-4.221756459316151
-5.992158056521938,-1.8005896185790435,-4.3722668562506355
-5.8355016324950055,-1.8009489836226011,-4.2575326556344635
-6.1289397143647815,-1.8009568466773516,-4.161631357046227
-5.9850284440918005,-1.7998189895269792,-4.351168929213982
-6.423380527335998,-1.7996316402806785,-4.220409698342991
-6.116705129678746,-1.8012612547558902,-4.478979158772769
-5.4166444926951876,-1.8010527538640675,-4.2342405072420135
-6.23925522639404,-1.8011613506873592,-4.172898326752911
-6.552439632204491,-1.8012572228334787,-4.10826879442894
-5.535259811688377,-1.7998379532105762,-4.431458019796969
-5.697332806127862,-1.8008688257675498,-4.304772600670956
-5.531717619333814,-1.8012797442545185,-4.282636192227937
-5.885827655355521,-1.8007146133775915,-4.373370803171434
-5.88229701680212,-1.8012827410997931,-4.3943701527294445
-5.663607024754582,-1.801200309165922,-4.015428948760263
-6.470185994540142,-1.800376720881578,-3.937248338261023
-6.197916002282339,-1.8012828440177189,-4.333760240751275
-6.676039229794279,-1.8011875566802593,-4.0736773750543405
-6.094599519805707,-1.8012381843084049,-4.361259274330089
-6.252227743059827,-1.8001446842715048,-4.282169411413516
-6.034546172499475,-1.8012553408788698,-4.3122682635838165
-5.7697305484736185,-1.8012597090643905,-4.428993791172221
-5.599935800494773,-1.8012353262205063,-4.308636802636416
-6.720538397824192,-1.8007047243165286,-4.347991904487176
-5.3892702741997045,-1.8004980352998112,-4.2959106743392335
-5.88905507033111,-1.8010465545079948,-4.315334782418435
-6.058798830198234,-1.8009268740801194,-4.284896128005625
-6.961859773252726,-1.800568705415949,-4.339070283333239
-6.242256689608541,-1.8004824949043519,-4.256214857237754
-6.346524045301157,-1.8012434209883454,-3.9886300722090717
-6.231202393954204,-1.8001110067308046,-4.245188670485022
-6.665421896895955,-1.800647353995343,-4.1295829530506465
-5.8353118083175035,-1.8012553571095102,-4.281416162755808
-6.376684720504571,-1.8009260724180303,-3.9092348347041352
-5.648413163413082,-1.8010687910564855,-4.354134623456107
-5.815342672423257,-1.8011767512294483,-3.8089728438387587
-5.382710855712648,-1.8009859837670006,-4.26326130020145
