d2,d3,d5
-494.16427436341047,-799.8551403906247,-1637.8338291638745
-494.164271231721,-886.3876601793681,-1639.1023691721343
-494.16429208598214,-886.3876449139134,-1637.8988195690567
-506.55735750170135,-886.3878334687807,-1438.7445442502706
-506.79277822713794,-886.7149243769131,-1941.962005132508
-506.79338665413655,-941.8250773798812,-1941.5771703891678
-506.6478284742927,-940.9507560974151,-1938.3081884360024
-506.5573389534562,-939.6109171261714,-1929.301385298918
-506.4773799143307,-904.2600335325066,-1680.2650454897055
-505.82603387996926,-903.9042978852847,-1780.1752706282311
-456.5087306671949,-902.6190251289911,-1779.3841705948414
-456.5087329102949,-897.7212463914155,-1778.9671078241095
-495.98317716345184,-895.7256248337967,-1762.599848205923
-496.15675203346996,-871.6475180863921,-1760.8785888037935
-495.9802295560905,-873.563753425926,-1402.6115112044452
-495.5046197335272,-873.563753425926,-1579.4730860398909
-495.1523073207462,-871.95108338719,-1632.9446543243143
-493.0416732804511,-842.3628859083819,-1632.1240189101186
-491.42652513360224,-972.8811312954963,-1635.7517451213203
-491.42490854922113,-972.8812101989474,-1634.3086404861417
-504.3806982313962,-972.8796473948784,-1697.086654612001
-504.5206913842479,-972.8607348257792,-1698.9496265125586
-504.23200081375273,-972.8812912014034,-1697.4595696839933
-504.03142059028437,-972.8784747383125,-1668.679418159457
-503.19953862431333,-909.2705175764738,-1668.679418159457
-501.52880061875624,-945.7415888650189,-1751.1948436613434
-494.88197815447967,-947.5086821936661,-1750.3437355902229
-493.89484214544154,-947.5086821936661,-1750.0713298526446
-465.86745737347485,-915.31241040023,-1371.1418701698667
-465.8674730036636,-915.2910568796407,-1580.5909649682776
-466.5893002054527,-989.3177972808362,-1581.9942122752918
-498.3857390247009,-988.9942589940538,-1603.1353969235606
-498.1259069139727,-988.1807147453186,-1603.1064854590607
-497.98657164304666,-961.4334119595358,-1847.9958179581254
-499.7477525541838,-960.5461929079768,-1905.939614695503
-508.70713602163903,-1002.0977306059954,-1900.5622928668508
-508.70713648981825,-1002.098089657877,-1894.1611998012831
-508.70713478324564,-1002.0854049345742,-1862.1963223099883
-508.7071314251623,-878.9750163331759,-1510.0270157309037
-508.70704128321097,-739.0458491977856,-1511.9354192141495
-508.7058489285658,-760.7536006948014,-1509.5169465905688
-508.6383438845279,-919.9141025052818,-1705.4791142719773
-508.6218992719325,-920.4749209012776,-1704.9168955857288
-508.79504820329777,-920.6951188161124,-1727.4788288384257
-508.7851576939966,-919.8422159488218,-1739.7356127012722
-508.7289797237708,-775.2734305348863,-1655.9969831800329
-508.6249765202942,-837.7052280747479,-1660.9865828181505
-508.2310964063905,-860.4088166491938,-1659.089615031353
-507.9987233033741,-860.4100025680566,-1644.6905144277312
-507.635554259108,-860.4051710306577,-1708.2930508523245
-463.01672846967557,-847.809019187116,-1786.6823052615487
-501.9497112192001,-870.9288692660198,-1788.0882225498171
-510.63886413345836,-855.3315373693019,-1787.8534777903583
-511.33642387131687,-996.369591261581,-1785.155829923303
-511.0873304130614,-997.1464561242943,-1621.6924096101602
-510.81415254250857,-997.1464561242943,-1644.4576764523408
-510.1016527288554,-994.6911655206718,-1661.7972305990756
-509.5768664262108,-990.7201962377699,-1699.1928507914067
-509.3531141722554,-960.2454302072078,-1699.3399604962474
-509.22533823708847,-958.7136888245777,-1699.0448646267332
-475.5459182513747,-958.7136888245777,-1698.9060631711118
-475.281747679438,-813.0328416140806,-1710.3664029891904
-475.07977654091644,-800.0484433317199,-1704.3882018169302
-494.16426137840324,-799.9032896995476,-1633.8833816500392
