minimum,maximum,mean,median,std
-501.9945614770081,260.99229178898224,-95.58193042482932,-116.71056631125302,199.44129775466385
-627.4647406439794,567.0060885647786,-128.1743694077391,-163.02608560097,287.37120132363526
-628.1734984832278,567.9686319056885,-155.2525991185529,-239.17554762782913,328.88223295608367
-627.0322712418432,567.0677755619932,-232.05627691914276,-339.229134871983,293.4080691327426
-628.8121365152757,-13.023755905474133,-417.7823180727776,-411.02213371723974,184.03957049986772
-628.3782509685881,-137.93017323045765,-518.6804606041155,-623.6199210848035,158.36237310837615
-632.3030690152071,-137.71937563204156,-590.1020805295907,-626.1668142788894,97.19320727394016
-631.6251067395517,-624.2018785991482,-627.685472194884,-627.2711233183002,1.9302573373229273
-631.5681584638327,-622.3959169470402,-628.2950920102998,-628.466513099799,1.928010134035573
-689.7006043658944,-626.2278530494178,-635.3920393639122,-630.278547406906,17.479433969177578
-690.0152336861066,538.4763574194171,-503.3400077679892,-631.0347537432631,367.3823623926586
-690.2946678011785,540.70200813606,-427.95357429199123,-631.4340580104172,391.789217687927
-690.4920286305196,539.1481806402925,-391.224923821128,-631.1571556264307,423.5656849674634
-691.098167101921,541.4095970799342,-349.7043306734891,-630.707908487524,480.2347712631687
-690.1786955400755,532.4701669390885,-412.15834335354367,-633.704895976155,450.7838731664635
-689.8365415953358,533.3362283526595,-391.3408869991254,-633.5791315858812,452.41517841040195
-690.0562000164668,527.0092525747227,-529.8064216214341,-634.153222949044,281.1825274428283
-690.1584992596671,537.0264223266479,-485.9385344016918,-633.634139914754,337.67168762650186
-690.1208593195443,529.921826640873,-581.115061475337,-634.6560911942986,234.463600982087
-695.5297709034942,-68.3191287725929,-611.3527717020123,-636.5843200491533,148.70393578641745
-694.8961535298188,516.5009119440517,-516.1548456668131,-636.8415734730038,329.6031163782969
-692.3390368439855,494.081573354494,-515.4303533206179,-637.6318308153266,290.1569017502353
-693.3020152767563,477.4815858659624,-504.4448791036663,-640.1574944393547,333.7481476770279
-691.951436049017,502.93585183969765,-454.30810775315337,-647.2596797039457,406.19421462995746
-692.9391861088706,479.7726565587843,-369.3124759439653,-648.5588883635128,457.6319677196576
-694.3073002228427,464.5811161132587,-357.28605875913144,-669.6939218825221,460.192637767182
-693.9097005527387,450.6692711419317,-422.44982120192157,-689.3781222982984,430.56088521663617
-694.0367395636633,363.3415772654523,-633.0941431243908,-690.9222538016223,219.07591224112775
-694.7865555068979,-688.1645270781481,-691.9941941270687,-691.9411312309387,1.782093530984771
