minimum,maximum,mean,median,std
-829.8038436635939,1403.2741869576334,-19.384018491735027,-73.82005883641347,507.5875032631677
-834.8775926255265,678.4553470222747,-141.2354613766431,-211.92052949364927,352.00402104608094
-937.914657009099,234.7788411537502,-242.52791520576287,-204.29073388369721,327.8131470989384
-1033.176002437011,384.170905302649,-319.83519975316557,-340.55436840239486,369.3463096010097
-1167.0640696422195,294.79381305963875,-368.1590476961011,-346.9677705853468,386.1476354369231
-1169.4091226532573,425.6815180361345,-460.9786450505688,-528.9757629725691,421.87976149120993
-1251.7186661575627,406.7149007070212,-708.6941867067666,-779.3321954099085,366.4702014899026
-1249.483417246048,-223.4604642571481,-842.1110676282404,-842.5006384895262,256.1857452198591
-1261.9918112181736,95.66232562493954,-843.9994225627071,-844.2485407598563,355.81497680570163
-1252.2171477716686,-721.882754906622,-1073.6293924426388,-1137.2311053931555,148.42535387548799
-1262.355907962048,36.03414724555881,-1044.064586407061,-1142.746245099522,314.29659256592186
-1263.827421216736,-735.6772099196817,-1164.0671880936475,-1209.0097530182984,135.45278093019346
-1264.457089196433,-1055.8811156690429,-1220.819035286125,-1248.482975011981,56.59772912378587
-1268.1237155294198,-1144.4622058247376,-1249.4767152769857,-1253.8802097089367,29.070186217920696
-1270.6935396402223,-1242.8483369491607,-1256.7894482627153,-1255.743656527658,8.144378359657987
-1271.7413494193374,-1251.2403222300893,-1260.2959974296368,-1261.1838586202211,6.40634107938465
-1273.3701388958498,-1251.8898358245685,-1263.162398747583,-1263.734794790872,5.382419508812146
-1271.1003990942454,-1248.809114510551,-1265.8077841008803,-1266.071049976617,4.58215686514004
-1273.7422030083574,-1257.937080316135,-1267.608282705489,-1267.8100617134846,3.3201416572545055
-1275.0123205404184,-1142.2714510966407,-1258.4387093129574,-1270.4055493349297,37.04223444221836
-1277.0440393462468,-1265.1768780560544,-1271.8277004147799,-1271.7601231354852,2.77214778184421
-1278.4672774254107,-1266.9240935698049,-1273.5081389607574,-1274.0706660142614,3.0413150395377575
-1281.8423064018791,-1269.5539492335163,-1275.2209134559341,-1275.2333785275484,2.7769291143227095
-1281.947780225071,-1271.7491613466277,-1277.0308826457292,-1277.1955712132917,2.244043736456221
-1286.16433097876,-1272.0415183512155,-1278.4257835863257,-1278.3653543940757,3.198985162848106
-1287.980454174382,-1276.090327860154,-1280.3528835117854,-1279.8531540317545,2.544235951123451
-1288.741226561061,-1274.6743977844471,-1281.500857327446,-1281.524733401292,3.466905914850222
-1289.8271131241404,-1277.319218176515,-1283.4537454101812,-1282.9387664904198,3.579281256052534
-1295.8158067240836,-1279.9124573085844,-1286.0728677540824,-1285.7018547887815,3.307317918829492
-1295.932309823847,-1178.0682616253687,-1278.4501490735572,-1288.391252542641,33.0070911263961
-1297.7769803196852,-241.2051823138641,-1255.5059069155216,-1290.6224327221207,191.60735722893523
-1298.2493012702598,-1280.848189810322,-1292.8054710767838,-1293.0134674971355,3.6410281221899017
-1298.4604646804887,-1289.0358782952267,-1294.39214213573,-1295.030418601378,2.8618640102075728
-1299.8638462526233,-1288.0958535034579,-1295.6833075859713,-1296.4217446018033,3.179913457337063
-1302.3942372188503,-1293.8370206039028,-1298.154615566424,-1297.9840507363783,2.115807210853819
-1303.6094587068242,-1293.436686596982,-1299.7261059382572,-1300.1879491883965,2.2941653475474983
-1306.3723886395917,-1296.22246178041,-1300.9204773838462,-1300.8798025411284,2.2419086763935288
-1308.1942858281484,-1297.0937982213734,-1302.8815533135464,-1302.79481894131,2.4860732013752123
-1307.8071395989425,-1299.372770621368,-1303.5280760174169,-1303.5931796607751,2.1690714873088686
-1308.66411715443,-1194.6428893631062,-1293.6200738050502,-1304.025879488922,33.173972863443275
-1310.5341440238526,-932.8656124593338,-1289.6111026974052,-1304.7956289200804,70.11875667137636
-1314.5642117274167,244.3574262456774,-1221.217546144463,-1306.92615334239,334.725236862662
-1316.4413646026292,243.11246262176172,-1256.1592655094587,-1308.0753184153573,283.184875368841
-1314.3923701609592,-1300.3231822762439,-1308.8390125640867,-1309.4925459469973,3.186073102334596
-1318.5087451973686,-1306.1004568744847,-1310.4795339574418,-1310.1601347769297,2.779471394315882
-1321.3880579110082,-1307.148273628355,-1312.2978036182883,-1311.9201335217813,3.484590561553307
-1321.3139060804149,-1307.0069241594608,-1313.717637432085,-1312.718225387144,4.315832120610274
-1322.8176956682487,-1309.6589900625595,-1316.3753416201419,-1317.0509849359878,3.222511530512348
-1322.6002317329971,-1310.8928184183337,-1317.738188749027,-1317.9364599155022,3.0335205401945653
-1325.467006125457,-1203.465395112335,-1308.7139383504161,-1319.8010779656847,34.57116714570878
-1325.0594271119078,-434.8316373136931,-1290.9536524668042,-1320.4945453292707,161.7161853356692
-1329.0355131851504,-1317.0893613308644,-1321.9322594915093,-1321.7026822742832,2.610554830418323
-1329.8850641362678,-1319.2340875368177,-1323.7980339531102,-1323.7837629165426,2.440159042273982
-1330.4728008368486,-1320.7693651121394,-1325.0199667748425,-1325.2040022473948,2.4555778415186005
-1331.3776706583524,-1322.2486273666022,-1325.80843500299,-1325.6495352929696,2.017667379832863
-1332.4098649433136,-1323.6894626404996,-1327.586480096186,-1327.384413222349,2.3839732103117393
-1333.4236740897077,-1325.0554211264332,-1329.0699026524778,-1328.9417311577504,2.3382791622294263
-1334.7452280924024,-1325.9886477097216,-1330.4001604240543,-1330.1908284444012,2.3767670566689074
-1336.272607480363,-1326.5951774319587,-1331.653086106361,-1331.7375846458556,2.1346431108839417
-1338.1837777742935,-1211.6429054426578,-1321.3032112278372,-1332.5642158208814,36.67437513092944
-1337.603584651502,-299.74881660042263,-1299.8671784556298,-1334.10063320872,188.90313177488179
-1338.6786821984654,-1332.0331186512826,-1335.7620100838164,-1336.3506116785225,1.728830634969939
-1338.7069094867552,-1333.1829868773589,-1336.666580531929,-1336.9567712859234,1.351699389402306
-1340.5297899711247,-1333.8619560585178,-1336.9479163506048,-1336.9982009066389,1.8808530669521522
-1341.442063826644,-1334.2327390608366,-1337.778264402272,-1337.755347381601,1.8420562899693065
-1343.3035301832901,-1335.0639004226155,-1338.9292373770782,-1339.012724114717,1.6915963477759577
-1344.9607613071867,-1337.037502820704,-1339.7158933952617,-1339.5171362618917,1.979472519672626
-1345.5551822829984,-1335.392173641459,-1340.864027561164,-1340.6437859224388,2.3992717207288456
-1345.5334222523766,-1338.6965805801185,-1342.365417545208,-1342.0954890746902,1.9187551183025668
-1346.1901150061967,-1215.1921238682921,-1331.0531082551445,-1343.139555751818,38.935784434507454
-1346.4082462270494,-1342.2397942987861,-1344.2653741557567,-1344.4616183945786,1.216793905331804
-1347.305139820462,-1342.8250687825252,-1345.1974615435456,-1345.2644989692408,1.107830326929392
-1348.6982617116917,-1342.5570443519123,-1345.9136432681155,-1345.8849856197107,1.3452578272072222
-1349.626020000421,-1342.7510987119467,-1346.5522994211285,-1346.5182489271888,1.580479028551025
-1350.3550320714564,-1343.5605439831743,-1347.7846804984592,-1347.9439575861165,1.6064595173503575
-1350.9905236427298,-1344.7311696983702,-1348.3662095416355,-1348.344892248582,1.4820544608413997
-1351.7421039665626,-1346.7106852473487,-1348.7682661724643,-1348.8034171170207,1.3040037611897948
-1352.6853756680603,-1346.357737400686,-1349.4121420554397,-1349.153950636416,1.5194094993689935
-1352.9809445171652,-1347.033932960544,-1350.1884558328054,-1350.19370709363,1.5091265854978
-1353.9224120284057,-1219.7357732400187,-1338.0534997153234,-1350.7689191772265,39.82799656478043
-1354.3883047625595,-1348.7751507828339,-1351.4048171142474,-1351.3328777989436,1.2086242315616207
-1355.2539638422004,-1350.187484024285,-1352.429691479814,-1352.1923137319802,1.369207263747107
-1356.1252983225272,-1350.5378854386247,-1353.2608727890113,-1352.9886450353874,1.6006229893545918
-1358.1756249718987,-1351.8460853267593,-1354.4058521695617,-1354.188117814379,1.4620259334926777
-1358.9705096825528,-1351.269776291378,-1355.4648506578465,-1355.6383250375093,1.6556497437055961
-1359.1841557696532,-1352.810816147012,-1356.13215091816,-1356.4419402304202,1.8987524516615433
-1360.9746947504239,-1353.6737198053622,-1357.199893972744,-1357.0797309913605,1.6786879530361996
-1361.8015130007261,-1354.1786682053553,-1358.1783340476825,-1358.3205487717553,1.5152110975852222
-1361.9575186864129,-1354.9228484376024,-1358.3413612958725,-1358.296166244558,1.6370617139560568
-1362.717637832828,-1221.9171596958877,-1345.6257021647828,-1358.8659674066605,41.544313904325854
-1364.0658168098018,-1356.5549670330531,-1360.0648136875293,-1360.5093369674476,1.681989949882504
-1364.3481081788377,-1356.7170365686825,-1360.6388884236965,-1360.6947717472021,1.5571433162071298
-1364.8391427452727,-1358.0389149911819,-1361.3043487424,-1361.4109696649184,1.6765672330091115
-1365.8551075250573,-1359.261845381666,-1362.4022983128364,-1362.4487292480194,1.462364348099763
-1365.4601835961137,-1359.157183905655,-1362.9706775774644,-1363.2086159137227,1.431529659283843
-1368.290167711874,-1359.5275380560183,-1363.972286750628,-1364.26451341119,1.7602681452136173
-1368.7975957739272,-1361.568815900652,-1365.1031121817853,-1365.0779387786106,1.7283742271774647
-1369.2479685408834,-1362.742305758696,-1366.2157674081136,-1366.2870580100177,1.554215696063339
-1369.766016831261,-1363.133740755128,-1366.7188383941502,-1366.8164456245868,1.8762650590071577
-1371.0503416403299,-1226.7211819543904,-1354.024063440545,-1367.7908563693304,43.04171999467532
