minimum,maximum,mean,median,std
-967.9581353426272,1053.3335130642465,-183.53589939443523,-244.97577485821097,543.1639885038953
-1095.0716028026159,1250.725323525192,-158.3406199234152,-156.09806041364482,645.699928198796
-1602.599114845259,908.338143708876,-108.0268931311073,-175.27661438231632,631.2136032664919
-1603.3507340537303,1210.381193777834,-329.36553834084145,-251.63213908902077,706.1677058827593
-1611.4446392534146,881.6766406141127,-500.48511237084006,-672.1287580087028,607.9584531976888
-1607.1832119271803,365.3550520532425,-800.8408771700416,-831.1037602547754,531.5852543166932
-1681.2950511594508,364.99330141760356,-1135.9410239418867,-1303.6750002963595,503.7001607192496
-1684.48163324967,-375.51369700320043,-1270.5216768187106,-1333.0031242076802,374.8472376920774
-1727.1003940184946,896.2926486444167,-1308.5020977506333,-1442.2309906693722,515.3651712854324
-1709.1937518466666,-595.4859415699191,-1309.2332135064885,-1367.977811055438,352.2027960156184
-1711.1793539262321,-19.533641519528146,-1325.7479452095633,-1461.3499999959383,433.86282775169866
-1713.4222001053583,-843.1256448585796,-1509.0703627427145,-1609.281125404705,217.1999964126421
-1729.8001750594858,-1293.1730613075024,-1637.9832447086153,-1664.8423988712311,109.25834985424756
-1726.622317932366,-1450.444691580587,-1677.5414583801794,-1686.9848950392861,50.4298996795232
-1720.3812660947888,-1614.8672935178656,-1690.0763613686695,-1705.2151122919154,26.697857414378106
-1720.8721564913938,-1659.8573570079984,-1697.3600825648832,-1707.597984113515,21.24759602334159
-1720.8176817351202,-1660.5540990967086,-1705.4158272432464,-1710.1855776188866,16.639764092434962
-1719.1548138567164,-1664.7296741052567,-1710.9704612049466,-1712.024738759622,9.37989270187022
-1722.4109249351882,-1708.4610665861437,-1714.3118278954657,-1714.4262014460505,3.631805955511542
-1725.4281401607604,-1709.294735228332,-1715.7951792329188,-1714.6928387255618,4.0698335005127655
-1728.8638045104235,-1708.452516602003,-1717.447524863242,-1717.0984450193823,5.051234785247711
-1729.6555125517023,-1712.0790036890617,-1721.444268788534,-1722.0374652109758,4.683375974916126
-1731.57316627502,-1714.0558453013728,-1723.1414528819034,-1723.160206891232,4.810344108264939
-1734.2855391091139,-1716.4544168828277,-1726.710566861925,-1726.726557777165,3.7766820952415165
-1736.6925173551288,-1723.1995552087174,-1729.2837689987557,-1729.5313320251141,3.327615915794364
-1735.4898693204727,-1722.5624405025937,-1730.9724407267597,-1731.0217220379768,3.1530908352417435
-1737.808976670792,-1727.3846517210372,-1732.5689381978252,-1732.598017808126,2.898326609508214
-1738.8296842171376,-1723.8008822725226,-1733.9165330959445,-1733.716459335791,2.893545149646148
-1740.7769348623215,-1729.9071162281055,-1734.6284211262644,-1734.4989627791529,2.985131532188472
-1745.0201590439485,-1731.6317536384784,-1736.9460133354703,-1736.465992961648,3.2236850877637293
-1744.9707753923867,-1730.5771271370518,-1739.10281486194,-1738.9835928637726,3.5828660380401605
-1746.1032341964985,-1738.0759849915712,-1741.9315201493248,-1741.971094766582,2.6502708376103428
-1748.5229700747411,-1735.4458538443168,-1742.6126431769146,-1743.3932026257708,3.308145610892713
-1749.3625455909846,-1738.6208759703622,-1743.6430574901397,-1743.884051216482,2.808974325251939
-1751.535611594697,-1738.4175786668236,-1745.816565188267,-1746.1889643562522,3.3774102574165257
-1753.251814446884,-1740.935416185142,-1747.5124682514586,-1747.863385735156,3.2359027405936334
-1757.2134826128959,-1743.9225797568897,-1749.0530305246834,-1748.3783954600328,3.4848376194694795
-1759.5297019565812,-1743.0105563544064,-1751.263800552461,-1751.451871024376,4.21765044149806
-1762.568118771599,-1747.5007319638776,-1754.6144059537132,-1753.9287345094824,3.8161081907362053
-1765.9163809527504,-1752.291373064823,-1756.7451378578492,-1756.5083105578515,3.0186366401432148
-1768.0403386342878,-1750.9262505086922,-1759.1208734207469,-1759.1514673265592,4.668892252382381
-1769.476263028435,-1751.5309547068205,-1762.6191953619139,-1762.7823803324218,4.496321888662123
-1773.1586253997634,-1758.4375987530414,-1765.9384766119595,-1766.5965825564401,3.8985512738096797
-1775.9924375329438,-1763.1369771744348,-1769.1905358083106,-1768.70477573223,3.4455391295693896
-1777.3906066023521,-1764.5173452768245,-1771.2678712596296,-1771.9885329845183,3.7397848297426908
-1779.5061535718673,-1767.0657279218822,-1773.6596710606782,-1774.1069348756025,3.0728462455898913
-1783.052310233855,-1765.5420096219368,-1775.0917181478733,-1775.6050248363617,4.051543147321098
-1783.299780923042,-1766.4384812768094,-1776.5115685425928,-1776.8107115334178,3.727245899966475
-1785.940783136526,-1767.9075253682804,-1777.5966664714774,-1778.0266669876369,3.7723659302176644
-1789.144074974583,-1776.6454340510472,-1782.0517513142388,-1781.510727881443,2.9032238898748286
-1789.381983829789,-1777.875735958653,-1782.7664368893056,-1782.5449930659736,2.932877232446058
-1792.6841829084947,-1778.0108443085487,-1784.6560430899772,-1784.327956156104,2.9512811888427026
-1790.7379986404062,-1780.3048025132448,-1786.0464853337025,-1786.6240201122332,2.9781436941281876
-1800.6486236257342,-1775.5203999503858,-1787.376576323084,-1786.6122565723763,5.162111172584066
-1798.7145313457813,-1781.7765819152519,-1790.0975557555055,-1789.7475690934518,4.065591483714437
-1800.7672471295928,-1784.6367655014592,-1792.615224145223,-1793.2288258437966,4.137333140561446
-1802.479838565378,-1786.0757551873353,-1796.0951795713188,-1796.3175317750192,3.301602138377694
-1803.985458125307,-1792.9607391999232,-1797.9429628686053,-1796.911401942834,3.313903047116675
-1805.0963237012797,-1794.6920517117542,-1799.7223267221195,-1799.306406249847,3.299364605210638
-1806.7523366272299,-1798.6553591202737,-1802.7142669895568,-1802.365748905481,1.9549488527217387
-1809.540424258441,-1798.9061063333834,-1804.2300477354518,-1804.3432851103667,2.5371380673726454
-1808.7564226683587,-1797.9131654644682,-1805.0800184312548,-1805.480305072082,2.3859203716796236
-1810.9675895581995,-1801.5937364932872,-1806.5373858839412,-1806.4476118604964,2.3410665033252003
-1814.2366140468475,-1800.1741579407862,-1807.8314873871357,-1807.9795464064098,3.2694499530802554
-1816.4582378244647,-1803.0687118529393,-1809.2935264479515,-1809.0801699210751,3.260272435668681
-1817.8729643815286,-1800.768985391344,-1810.2927720567925,-1809.8156147761865,3.472084738903341
-1817.0503316757226,-1806.004740367027,-1812.0059726936624,-1812.1529870780055,3.025015716237999
-1819.951547287813,-1805.2232403335256,-1814.595671344641,-1814.8847753839423,3.2124416359653347
-1821.713664859341,-1810.6487445826424,-1815.6257615967543,-1815.434132316589,2.7814336941357833
-1822.8535086629713,-1813.5254466057536,-1817.904716678237,-1817.682953843397,2.66278320956767
-1826.7392667142467,-1814.3915592876501,-1819.6291591620989,-1819.690677515927,3.2703558978031584
-1829.4459649496198,-1814.889074731756,-1822.374740698401,-1821.8052471365468,3.7708924280018117
-1830.8509750214216,-1815.910032300255,-1824.2512750677847,-1824.5126703380008,3.8711340925718267
-1831.6176624697491,-1820.3413019980237,-1826.8241428128183,-1826.5827923399072,2.9880377870036887
-1833.8816605896213,-1818.4643615132338,-1827.5831958418103,-1827.9622267077,3.4066343823597482
-1837.0920695372631,-1824.9217128569603,-1829.4345472407153,-1828.93128338473,2.700093132397686
-1835.328844665893,-1825.2699705653267,-1829.8462143835375,-1829.7468025779747,2.685991821005123
-1837.524684056862,-1827.6900355795183,-1831.812961252353,-1831.9340483478004,2.349178942569983
-1839.1036111728386,-1827.0292145358428,-1833.0524856609684,-1833.4474176939757,3.116338743270301
-1842.3375114072396,-1832.6927955265858,-1835.9235720440438,-1835.7581465544272,2.205971351259581
-1842.7778448869717,-1834.260277482397,-1837.8032924804677,-1837.8916191516737,2.1542716756825975
-1845.9347795646827,-1834.0522370126637,-1839.2732586203856,-1839.1069154977797,3.1030788325482965
-1845.8541794756013,-1835.735015624487,-1840.834964293438,-1840.6497780632867,2.934102818348701
-1847.2740863204244,-1837.9230154625313,-1843.3886676538743,-1843.6175898074675,2.3584225728762185
-1848.1743101151337,-1838.0138021022344,-1844.1007649496967,-1844.4023317427404,2.3328752121877296
-1850.0710931197632,-1841.279636474382,-1845.5655099859682,-1845.6539825596105,2.1229076123703363
