minimum,maximum,mean,median,std
-409.4562300624633,356.35452663844734,-43.66987653217732,32.42308348357769,220.37955440182236
-364.2340992759964,327.9007633915272,-111.07139965846396,-105.69830739837899,225.04624418994442
-364.707235107141,334.1082293187952,-134.65049481476234,-201.70843040330965,206.45223778017373
-364.7762172242917,364.51651370641065,-201.16185312582155,-281.94332585573443,200.1678302086499
-365.52323787676403,-38.281908209258376,-304.0110853524931,-346.9950541245871,93.81583349025924
-366.2095407837301,-277.02902932634413,-343.6212073493353,-347.0205053944557,26.504662437968975
-367.1274308535262,-288.5099499274928,-355.80365759661805,-364.1133646426655,15.438886740972077
-367.4989176747939,-347.1092566367709,-362.91094400531176,-365.2704123976524,6.265014948432196
-367.5631118253582,-362.613799139711,-365.44976863231915,-365.41522487110626,1.2547191886848867
-367.8086350569385,-365.01296717049075,-366.51112767770354,-366.40360145133616,0.8465285255272366
-368.20538092782357,-365.1615529188397,-367.08135299218105,-367.1860268359958,0.7513843634348142
-368.31598753201826,-364.96025200284214,-367.2599256317097,-367.39687593527646,0.7965759319920517
-368.6333484442391,-366.0709101326922,-367.74706055584096,-367.83748800001297,0.6956602930420133
-368.810547327559,-366.67648131482287,-368.024701810975,-368.1324987429268,0.5849371913605113
-368.8510693182345,-366.7966854399741,-368.2192450057843,-368.2998521758609,0.47767975452531247
-368.9563872705498,-367.2822545675976,-368.4027079868069,-368.46402803408137,0.38077218118565154
-369.2148000875457,-367.9715493511061,-368.6679847908646,-368.6771528902232,0.2872516458666396
-369.2516536776878,-368.3332266255705,-368.893541116052,-368.96147387883957,0.24517258993958976
-369.31179338944236,-368.48584672537163,-369.02573761811834,-369.0674512333953,0.17655103348574683
-369.28475012229603,-368.94401697459,-369.12610780951405,-369.13630138603594,0.09967026913933996
-369.3727669449328,-368.8910210996078,-369.16912851945045,-369.18771520442795,0.11729122479114822
-369.38668235566354,-368.9555171190665,-369.20539402843576,-369.218394574728,0.1070977991384216
-369.38126544580683,-368.98810762845477,-369.218332361753,-369.21157660490155,0.10080393059916486
-369.56774010990443,-369.0929521456575,-369.3205520421395,-369.33568871836786,0.10123165281997237
-369.5048571034688,-369.1657375445938,-369.3513377467516,-369.3620017778313,0.0666615163620756
-369.4585118579321,-369.03083855015734,-369.33879027652085,-369.35192159628775,0.09275169426237787
-369.5297314579301,-369.02667721670605,-369.34946699889986,-369.35970168301264,0.1095890799848562
-369.50402919373323,-369.23387552725035,-369.3678290284592,-369.36705712188495,0.059164246290366124
-369.4833737894256,-369.23043487063137,-369.38905456152645,-369.3951999703618,0.06625551889828979
-369.5164668712786,-369.3381212737047,-369.4398655796098,-369.4458658936878,0.050973211657373216
-369.618322675959,-369.2679093636863,-369.4575232380147,-369.4794028744907,0.08378554306848088
-369.62991818403,-369.2683890635637,-369.4692890967787,-369.46446674898004,0.08131655648536923
-369.66346385743174,-369.2434713718626,-369.45485246879775,-369.43274650667183,0.11192067203950401
-369.734780214475,-369.2780383989574,-369.46515545719427,-369.45269923485034,0.11272179746218122
-369.76190371438327,-369.1764306621602,-369.51673928094544,-369.5099497990591,0.14131294193770788
-369.80132425381146,-369.285138256663,-369.5720560747056,-369.57750651342826,0.13271570408696703
-369.8829024521576,-369.05007624596544,-369.6180177355427,-369.65462268048054,0.1753017676612912
-369.86432663079074,-369.5469912402663,-369.70614774086033,-369.7019600003898,0.07693876616894693
-369.89124960973373,-369.5448606393427,-369.7352209837372,-369.73820239349607,0.08734437270878943
-369.9058455870616,-369.636821884101,-369.7599709390446,-369.76018532011574,0.06798767275021238
-369.9880003368811,-369.54100760951974,-369.7556194163157,-369.7689186922986,0.11492646291870452
-369.98172340398645,-369.2413810066009,-369.78467403227035,-369.8226776918997,0.1598196457653484
-370.0570018730919,-369.3083301983532,-369.8274147487669,-369.85728967456873,0.16944171280886658
-370.1079029327665,-369.7265286480524,-369.93448493606087,-369.9312071636304,0.08940779448230617
-370.13868771712214,-369.7964979936206,-369.9575951542582,-369.9471606699127,0.09368530270946439
-370.2797773570328,-369.75573122304047,-370.0013241279036,-369.98332871515197,0.09921067882939089
-370.241485662317,-369.8345137225539,-370.04961964429714,-370.05885381807855,0.11972823536335073
-370.2649359468147,-369.8569318063764,-370.08091941953705,-370.09352369680335,0.1027758406937758
-370.3008913563574,-370.0241105725622,-370.15074063173404,-370.1426091881476,0.0757282786131477
-370.3546526976953,-370.0765256561022,-370.2099352310612,-370.19799307735207,0.07773406128902648
-370.4241717814016,-369.84980163354146,-370.21679525536103,-370.2225691689499,0.10520540986305703
-370.3498447609212,-370.09229118066685,-370.23604010453744,-370.2226747562487,0.0746690271267524
-370.42678509337003,-370.0585030818044,-370.252583833745,-370.2525489542677,0.08944794365327266
-370.4666453405408,-370.14976533489914,-370.30649464086673,-370.2974238345019,0.08290390678107099
-370.479541565247,-370.1463394795887,-370.35318490183596,-370.37317382610524,0.08918370312053849
-370.5775788489121,-370.1644641349518,-370.38838754514035,-370.39641246267956,0.09971937298966724
-370.60301630069796,-370.1563147733422,-370.4201001182556,-370.4329129921259,0.10317756131438195
-370.7154565262172,-370.2655842180604,-370.4524812829894,-370.4461864007461,0.10220045698185748
-370.70371688401235,-370.0262456958865,-370.44635879880036,-370.4658133392734,0.13886050064072822
